VALUE,EVT_NAME,LFRDB,EVT_FUEL,EVT_Fuel_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
9314,Northern & Central Native Ruderal Flooded & Swamp Forest,9314,2565,Tr Northern & Central Native Ruderal Flooded & Swamp Forest,Tree,Riparian,740,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,255,105,46,1,0.411765,0.180392
9315,Northern & Central Native Ruderal Forest,9315,2566,Tr Northern & Central Native Ruderal Forest,Tree,Conifer-Hardwood,740,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,105,46,1,0.411765,0.180392
9316,Northern & Central Plains Ruderal & Planted Shrubland,9316,2567,Sh Northern & Central Plains Ruderal & Planted Grassland & Shrubland,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Deciduous shrubland,255,105,46,1,0.411765,0.180392
9317,Northern & Central Ruderal Shrubland,9317,2568,Sh Northern & Central Ruderal Meadow & Shrubland,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Deciduous shrubland,255,105,46,1,0.411765,0.180392
9318,Northern & Central Ruderal Wet Meadow & Marsh,9318,2569,He Northern & Central Ruderal Wet Meadow & Marsh,Herb,Riparian,709,Introduced Herbaceous Wetland Vegetation,LF 59: Introduced Herbaceous Wetland and Riparian Vegetation,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1,0.411765,0.180392
9319,Southeastern Exotic Ruderal Forest,9319,2571,Tr Southeastern Exotic Ruderal Forest,Tree,Exotic Tree-Shrub,707,Introduced Upland Vegetation-Treed,LF 51: Introduced Upland Vegetation - Tree,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,105,46,1,0.411765,0.180392
9320,Southeastern Native Ruderal Flooded & Swamp Forest,9320,2572,Tr Southeastern Native Ruderal Flooded & Swamp Forest,Tree,Riparian,708,Introduced Woody Wetland Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,132,168,0,0.517647,0.658824
9321,Southeastern Native Ruderal Forest,9321,2573,Tr Southeastern Native Ruderal Forest,Tree,Conifer-Hardwood,707,Introduced Upland Vegetation-Treed,LF 51: Introduced Upland Vegetation - Tree,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,105,46,1,0.411765,0.180392
9322,Southeastern North American Temperate Forest Plantation,9322,2574,Tr Southeastern North American Temperate Forest Plantation,Tree,Conifer,731,Managed Tree Plantation,LF 61: Managed Tree Plantation,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,158,67,14,0.619608,0.262745,0.054902
9323,Southeastern Ruderal Shrubland,9323,2575,Sh Southeastern Ruderal Grassland & Shrubland,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1,0.411765,0.180392
